TranID,Time,Price,Volume,SaleOrderVolume,BuyOrderVolume,Type,SaleOrderID,SaleOrderPrice,BuyOrderID,BuyOrderPrice
1,09:25:00,11.97,200,200,500,S,1,10.67,1,13.04
2,09:25:00,11.97,100,100,500,S,2,10.67,1,13.04
3,09:25:00,11.97,200,8000,500,S,3,10.67,1,13.04
4,09:25:00,11.97,100,8000,100,S,3,10.67,4,13.04
5,09:25:00,11.97,100,8000,100,S,3,10.67,5,13.04
6,09:25:00,11.97,100,8000,100,S,3,10.67,6,13.04
7,09:25:00,11.97,500,8000,500,B,3,10.67,7,13.04
8,09:25:00,11.97,400,8000,400,B,3,10.67,8,13.04
9,09:25:00,11.97,1000,8000,1000,B,3,10.67,9,13.04
10,09:25:00,11.97,1000,8000,1000,B,3,10.67,10,13.04
11,09:25:00,11.97,1100,8000,1100,S,3,10.67,11,12.89
12,09:25:00,11.97,3000,8000,3000,B,3,10.67,12,12.8
13,09:25:00,11.97,500,8000,1200,B,3,10.67,13,12.5
14,09:25:00,11.97,700,2400,1200,B,14,10.67,13,12.5
15,09:25:00,11.97,1700,2400,30000,B,14,10.67,15,12.5
16,09:25:00,11.97,1500,1500,30000,B,16,10.67,15,12.5
17,09:25:00,11.97,3000,3000,30000,B,17,10.67,15,12.5
18,09:25:00,11.97,1000,1000,30000,B,18,10.67,15,12.5
19,09:25:00,11.97,22600,22600,30000,B,19,10.67,15,12.5
20,09:25:00,11.97,200,1000,30000,S,20,10.67,15,12.5
21,09:25:00,11.97,800,1000,7900,S,20,10.67,21,12.49
22,09:25:00,11.97,7100,12000,7900,S,22,10.67,21,12.49
23,09:25:00,11.97,2600,12000,2600,S,22,10.67,23,12.49
24,09:25:00,11.97,400,12000,400,S,22,10.67,24,12.49
25,09:25:00,11.97,600,12000,600,S,22,10.67,25,12.49
26,09:25:00,11.97,100,12000,100,S,22,10.67,26,12.49
27,09:25:00,11.97,1200,12000,2400,S,22,10.67,27,12.49
28,09:25:00,11.97,1200,2500,2400,S,28,10.67,27,12.49
29,09:25:00,11.97,200,2500,200,S,28,10.67,29,12.49
30,09:25:00,11.97,100,2500,100,S,28,10.67,30,12.49
31,09:25:00,11.97,1000,2500,2900,S,28,10.67,31,12.49
32,09:25:00,11.97,1900,46400,2900,S,32,11,31,12.49
33,09:25:00,11.97,3900,46400,3900,S,32,11,33,12.49
34,09:25:00,11.97,3300,46400,3300,S,32,11,34,12.49
35,09:25:00,11.97,1500,46400,1500,S,32,11,35,12.49
36,09:25:00,11.97,1200,46400,1200,S,32,11,36,12.49
